ieltsMarks,toefl_ibt,minimumGPA,tuitionFeeUSD,ielts_toefl_interaction,gpa_tuition_interaction,ielts_tuition_interaction,gpa_toefl_interaction,universityRankingNum,country_AUS,country_CAD,country_NZ,country_UK,country_US,courseLevelSimplified_Postgraduate,courseLevelSimplified_Undergraduate,uniqueID
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.6839652593306046,0.12566959332991082,0.7535864913035242,0.7047741926275863,0.2172000471709038,-1.1534459729870996,True,False,False,False,False,False,True,0
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.6839652593306046,0.12566959332991082,0.7535864913035242,0.7047741926275863,0.2172000471709038,-1.1534459729870996,True,False,False,False,False,False,True,1
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.6839652593306046,0.12566959332991082,0.7535864913035242,0.7047741926275863,0.2172000471709038,-1.1534459729870996,True,False,False,False,False,False,True,2
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.6839652593306046,0.12566959332991082,0.7535864913035242,0.7047741926275863,0.2172000471709038,-1.1534459729870996,True,False,False,False,False,False,True,3
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.6839652593306046,0.12566959332991082,0.7535864913035242,0.7047741926275863,0.2172000471709038,-1.1534459729870996,True,False,False,False,False,False,True,4
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.6839652593306046,0.12566959332991082,0.7535864913035242,0.7047741926275863,0.2172000471709038,-1.1534459729870996,True,False,False,False,False,False,True,5
0.48433302428171143,0.01340223876458206,0.3657690499288256,-0.01514566395260905,0.12566959332991082,0.06967398213933224,0.02316163579981482,0.2172000471709038,-0.904636567679964,True,False,False,False,False,False,True,6
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.038192499131668826,0.12566959332991082,0.12185259319273067,0.07516477365043499,0.2172000471709038,-0.6399457109702452,True,False,False,False,False,False,True,7
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.038192499131668826,0.12566959332991082,0.12185259319273067,0.07516477365043499,0.2172000471709038,-0.6399457109702452,True,False,False,False,False,False,True,8
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.09915039979941498,0.12566959332991082,0.18148529153947263,0.1345969311940009,0.2172000471709038,-0.6399457109702452,True,False,False,False,False,False,True,9
0.48433302428171143,0.01340223876458206,0.3657690499288256,0.038192499131668826,0.12566959332991082,0.12185259319273067,0.07516477365043499,0.2172000471709038,-0.6399457109702452,True,False,False,False,False,False,True,10
0.48433302428171143,1.0863259087513666,1.0756319468277307,1.1024158482894035,1.0133651030769777,1.4247205651077002,1.1127511907651897,1.50884326722128,-1.5293069895149003,True,False,False,False,False,True,False,11
0.48433302428171143,1.0863259087513666,1.0756319468277307,1.1024158482894035,1.0133651030769777,1.4247205651077002,1.1127511907651897,1.50884326722128,-1.5293069895149003,True,False,False,False,False,True,False,12
0.48433302428171143,1.0863259087513666,1.0756319468277307,1.1024158482894035,1.0133651030769777,1.4247205651077002,1.1127511907651897,1.50884326722128,-1.5293069895149003,True,False,False,False,False,True,False,13
0.48433302428171143,1.0863259087513666,1.0756319468277307,1.1024158482894035,1.0133651030769777,1.4247205651077002,1.1127511907651897,1.50884326722128,-1.5293069895149003,True,False,False,False,False,True,False,14
0.48433302428171143,0.01340223876458206,1.0756319468277307,1.10089190077271,0.12566959332991082,1.4231232606876987,1.1112653868266007,0.6353960077609848,-1.7622349434194529,True,False,False,False,False,True,False,15
0.48433302428171143,0.01340223876458206,1.0756319468277307,-0.02276540153607732,0.12566959332991082,0.24537746833955285,0.01573261610686908,0.6353960077609848,-0.6399457109702452,True,False,False,False,False,True,False,16
0.48433302428171143,0.01340223876458206,1.0756319468277307,-0.02276540153607732,0.12566959332991082,0.24537746833955285,0.01573261610686908,0.6353960077609848,-0.6399457109702452,True,False,False,False,False,True,False,17
0.48433302428171143,0.01340223876458206,1.0756319468277307,-0.02276540153607732,0.12566959332991082,0.24537746833955285,0.01573261610686908,0.6353960077609848,-0.6399457109702452,True,False,False,False,False,True,False,18
0.48433302428171143,0.01340223876458206,1.0756319468277307,-0.02276540153607732,0.12566959332991082,0.24537746833955285,0.01573261610686908,0.6353960077609848,-0.6399457109702452,True,False,False,False,False,True,False,19
0.48433302428171143,0.01340223876458206,1.0756319468277307,-0.15128497544390865,0.12566959332991082,0.11067146225271743,-0.10957018271414895,0.6353960077609848,-0.37525485426052646,True,False,False,False,False,True,False,20
0.48433302428171143,0.8912488778446785,-1.053956743868983,-1.241850148183467,0.8519659194866018,-1.326308646157036,-1.1728391018827862,-0.04748094054433712,-0.11056399755080769,False,True,False,False,False,False,True,21
-1.2304676833102972,0.11094075421792612,-1.053956743868983,-1.2909388422308106,-0.29024368746067297,-1.36746995236478,-1.3221722884176872,-0.5556684369575994,-0.11056399755080769,False,True,False,False,False,False,True,22
-1.2304676833102972,-1.839829554848955,-1.053956743868983,-1.2857369059959427,-1.780082305217988,-1.3631080826024666,-1.3174906872502392,-1.8261371779907558,-0.11056399755080769,False,True,False,False,False,False,True,23
0.48433302428171143,0.8912488778446785,-1.053956743868983,-0.950688252445939,0.8519659194866018,-1.082166809038268,-0.8889648301542634,-0.04748094054433712,-0.11056399755080769,False,True,False,False,False,False,True,24
-1.2304676833102972,0.8912488778446785,-1.053956743868983,-1.6062787514543435,0.30569175964225304,-1.6318852686604968,-1.6059696324274961,-0.04748094054433712,-0.11056399755080769,False,True,False,False,False,False,True,25
