ieltsMarks,toefl_ibt,minimumGPA,tuitionFeeUSD,country_AUS,country_CAD,country_NZ,country_UK,country_US,courseLevelSimplified_Postgraduate,courseLevelSimplified_Undergraduate,universityRankingNum,uniqueID
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.6839652593306046,1,0,0,0,0,0,1,-1.1534459729870996,0
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.6839652593306046,1,0,0,0,0,0,1,-1.1534459729870996,1
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.6839652593306046,1,0,0,0,0,0,1,-1.1534459729870996,2
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.6839652593306046,1,0,0,0,0,0,1,-1.1534459729870996,3
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.6839652593306046,1,0,0,0,0,0,1,-1.1534459729870996,4
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.6839652593306046,1,0,0,0,0,0,1,-1.1534459729870996,5
0.4843330242817114,0.6994190804010656,0.3657690499288256,-0.015145663952609,1,0,0,0,0,0,1,-0.904636567679964,6
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.0381924991316688,1,0,0,0,0,0,1,-0.6399457109702452,7
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.0381924991316688,1,0,0,0,0,0,1,-0.6399457109702452,8
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.0991503997994149,1,0,0,0,0,0,1,-0.6399457109702452,9
0.4843330242817114,0.6994190804010656,0.3657690499288256,0.0381924991316688,1,0,0,0,0,0,1,-0.6399457109702452,10
0.4843330242817114,0.98356424387948,1.075631946827731,1.1024158482894035,1,0,0,0,0,1,0,-1.5293069895149003,11
0.4843330242817114,0.98356424387948,1.075631946827731,1.1024158482894035,1,0,0,0,0,1,0,-1.5293069895149003,12
0.4843330242817114,0.98356424387948,1.075631946827731,1.1024158482894035,1,0,0,0,0,1,0,-1.5293069895149003,13
0.4843330242817114,0.98356424387948,1.075631946827731,1.1024158482894035,1,0,0,0,0,1,0,-1.5293069895149003,14
0.4843330242817114,0.20862288893835,1.075631946827731,1.10089190077271,1,0,0,0,0,1,0,-1.7622349434194529,15
0.4843330242817114,0.6994190804010656,1.075631946827731,-0.0227654015360773,1,0,0,0,0,1,0,-0.6399457109702452,16
0.4843330242817114,0.6994190804010656,1.075631946827731,-0.0227654015360773,1,0,0,0,0,1,0,-0.6399457109702452,17
0.4843330242817114,0.6994190804010656,1.075631946827731,-0.0227654015360773,1,0,0,0,0,1,0,-0.6399457109702452,18
0.4843330242817114,0.6994190804010656,1.075631946827731,-0.0227654015360773,1,0,0,0,0,1,0,-0.6399457109702452,19
0.4843330242817114,0.20862288893835,1.075631946827731,-0.1512849754439086,1,0,0,0,0,1,0,-0.3752548542605264,20
0.4843330242817114,0.20862288893835,-1.053956743868983,-1.241850148183467,0,1,0,0,0,0,1,-0.1105639975508076,21
-1.2304676833102972,0.20862288893835,-1.053956743868983,-1.2909388422308106,0,1,0,0,0,0,1,-0.1105639975508076,22
-1.2304676833102972,0.20862288893835,-1.053956743868983,-1.2857369059959427,0,1,0,0,0,0,1,-0.1105639975508076,23
0.4843330242817114,0.9319014868834046,-1.053956743868983,-0.950688252445939,0,1,0,0,0,0,1,-0.1105639975508076,24
-1.2304676833102972,0.9319014868834046,-1.053956743868983,-1.6062787514543435,0,1,0,0,0,0,1,-0.1105639975508076,25
0.4843330242817114,0.8802387298873293,-1.053956743868983,-0.922114236507933,0,1,0,0,0,0,1,-0.1105639975508076,26
-1.2304676833102972,0.9319014868834046,-1.053956743868983,-1.6062787514543435,0,1,0,0,0,0,1,-0.1105639975508076,27
0.4843330242817114,0.20862288893835,-1.053956743868983,0.2198939338143737,0,1,0,0,0,0,1,0.154126859158911,28
-1.2304676833102972,0.20862288893835,-1.053956743868983,-0.9163261666127984,0,1,0,0,0,0,1,-0.1105639975508076,29
-1.2304676833102972,0.20862288893835,-1.053956743868983,-1.787467319184315,0,1,0,0,0,0,1,-0.1105639975508076,30
0.4843330242817114,0.20862288893835,-1.053956743868983,-1.182797181911588,0,1,0,0,0,0,1,-0.1105639975508076,31
-1.2304676833102972,0.20862288893835,-1.053956743868983,-1.0923127981079022,0,1,0,0,0,0,1,-0.1105639975508076,32
0.4843330242817114,0.9319014868834046,-1.053956743868983,0.0017056787800611,0,1,0,0,0,0,1,0.154126859158911,33
0.4843330242817114,0.8802387298873293,-1.053956743868983,-1.044103304550959,0,1,0,0,0,0,1,-0.1105639975508076,34
0.4843330242817114,0.751081837397141,-1.053956743868983,-0.807818172755909,0,1,0,0,0,0,1,-0.1105639975508076,35
0.4843330242817114,0.9319014868834046,-1.053956743868983,0.0017056787800611,0,1,0,0,0,0,1,0.154126859158911,36
0.4843330242817114,0.8027445943932163,-1.053956743868983,0.2110286622028385,0,1,0,0,0,0,1,2.2716537128366614,37
0.4843330242817114,0.20862288893835,-1.053956743868983,-1.231373009006198,0,1,0,0,0,0,1,-0.1105639975508076,38
0.4843330242817114,0.8027445943932163,-1.053956743868983,0.2110286622028385,0,1,0,0,0,0,1,2.2716537128366614,39
